Feature,Coefficient
region_joplin,-2953.355772828927
region_kalamazoo,1040.3302452994099
region_kalispell,864.2860001911412
region_kansas city,1047.5792079943049
"region_kansas city, MO",1236.7893652293972
region_kenai peninsula,-439.0414899247786
region_kennewick-pasco-richland,-2375.360746436892
region_kenosha-racine,-2132.6889020268422
region_killeen / temple / ft hood,0.0
region_kirksville,-413.7078759755064
region_klamath falls,-6085.922841578237
region_knoxville,-200.49416397042032
region_kokomo,-768.4918114223879
region_la crosse,74.33688672446019
region_la salle co,0.0
region_lafayette,-9.815798144720075
region_lafayette / west lafayette,-873.0400083310536
region_lake charles,567.9912461718225
region_lake of the ozarks,-2671.1421392831753
region_lakeland,-139.88627839439712
region_lancaster,-874.1740169161471
region_lansing,-21.540126366163104
region_laredo,3322.3821766314068
region_las cruces,1634.6451004581832
region_las vegas,2085.755038893511
region_lawrence,-653.4507314391767
region_lawton,-3910.639702900389
region_lehigh valley,-153.42766216192732
region_lewiston / clarkston,-1919.237480869443
region_lexington,409.5933548785294
region_lima / findlay,0.0
region_lincoln,-0.0
region_little rock,1282.3959622368009
region_logan,0.0
region_long island,-3940.846284376824
region_los angeles,-415.21198029853105
region_louisville,465.59533611884774
region_lubbock,377.1811299790955
region_lynchburg,0.0
region_macon / warner robins,-0.0
region_madison,834.1857671847806
region_maine,-1904.9707819317493
region_manhattan,-353.8086715592357
region_mankato,-0.0
region_mansfield,-803.7114395805431
region_mason city,-113.14490313289988
region_mattoon-charleston,250.81547083585266
region_mcallen / edinburg,-1750.6897831814076
region_meadville,-0.0
region_medford-ashland,-1961.656739453743
region_memphis,1183.44518201367
region_mendocino county,-6726.316384743337
region_merced,-0.0
region_meridian,-875.7260951358508
region_milwaukee,-750.0499530402338
region_minneapolis / st paul,-653.0697400902484
region_missoula,-28.50656648528086
region_mobile,0.0
region_modesto,570.6789836759386
region_mohave county,946.4762279208012
region_monroe,-788.034342067142
region_monterey bay,538.8380096082773
region_montgomery,238.7504032091739
region_morgantown,0.0
region_moses lake,328.5083155801201
region_muncie / anderson,-523.8846977298161
region_muskegon,-374.5553509090088
region_myrtle beach,484.27276950576015
region_nashville,601.612320895956
region_new hampshire,-471.9416263149241
region_new haven,-598.4337751017684
region_new orleans,35.449789307976815
region_new river valley,-0.0
region_new york city,-1487.0086749980903
region_norfolk / hampton roads,-1671.6589251003443
region_north central FL,-4917.104282151032
region_north dakota,-37.68283790861234
region_north jersey,-1230.3144282928818
region_north mississippi,0.0
region_north platte,-0.0
region_northeast SD,0.0
region_northern WI,-27.250063844045318
region_northern michigan,1980.3681985768887
region_northern panhandle,1201.0263008222291
region_northwest CT,-1008.7149465358931
region_northwest GA,-2398.4113084123105
region_northwest KS,-0.0
region_northwest OK,1438.156384812242
region_ocala,-1130.3338056711552
region_odessa / midland,2451.7462841415545
region_ogden-clearfield,-0.0
region_okaloosa / walton,-691.7819791285733
region_oklahoma city,1926.7308848727973
region_olympic peninsula,8527.979892761155
region_omaha / council bluffs,2157.2212288326823
region_oneonta,-0.0
region_orange county,-762.9947437190699
region_oregon coast,3048.2446153086203
region_orlando,-480.19523867281185
region_outer banks,725.4617250172578
region_owensboro,-871.2663702041771
region_palm springs,-1027.1158357480772
region_panama city,283.01247508782933
region_parkersburg-marietta,1006.6109809233819
